"Hlavná kategória";"Podkategória";"Pod-podkategória";"URL slug";"Krátky popis";"Meta titulok";"Meta popis";"Viditeľná"
"Strešné doplnky";"Spray";"";"stresne-doplnky/spray";"";"Strešné spreje — Strechy Partizánske";"";"1"
"Strešné doplnky";"Tesniace pásky";"";"stresne-doplnky/tesniace-pasky";"";"Tesniace pásky — Strechy Partizánske";"";"1"
"Strešné doplnky";"Vetrací hrebeň";"";"stresne-doplnky/vetraci-hreben";"";"Vetracie hrebene — Strechy Partizánske";"";"1"
"Strešné doplnky";"Odvetrávací pás hrebeňa";"";"stresne-doplnky/odvetravaci-pas-hrebena";"";"Odvetrávací pás hrebeňa — Strechy Partizánske";"";"1"
"Strešné doplnky";"Pás proti vtákom";"";"stresne-doplnky/pas-proti-vtakom";"";"Pás proti vtákom — Strechy Partizánske";"";"1"
"Strešné doplnky";"Prestupová manžeta";"";"stresne-doplnky/prestupova-manzeta";"";"Prestupové manžety — Strechy Partizánske";"";"1"
"Spojovací materiál";"";"";"spojovaci-material";"Skrutky, nity, príponky pre strešné krytiny a panely.";"Spojovací materiál — Strechy Partizánske";"Skrutky pre krytiny, sendvičové panely, nity, príponky a kalota.";"1"
"Spojovací materiál";"Skrutky pre krytiny";"";"spojovaci-material/skrutky-pre-krytiny";"Skrutky pre plechové krytiny — do dreva aj do ocele.";"Skrutky pre krytiny — Strechy Partizánske";"Farebné skrutky pre plechové krytiny do dreva aj do ocele.";"1"
"Spojovací materiál";"Skrutky pre krytiny";"Do dreva";"spojovaci-material/skrutky-pre-krytiny/do-dreva";"";"Skrutky do dreva pre krytiny — Strechy Partizánske";"";"1"
"Spojovací materiál";"Skrutky pre krytiny";"Do ocele";"spojovaci-material/skrutky-pre-krytiny/do-ocele";"";"Skrutky do ocele pre krytiny — Strechy Partizánske";"";"1"
"Spojovací materiál";"Skrutky pre sendvičové panely";"";"spojovaci-material/skrutky-pre-sendvicove-panely";"";"Skrutky pre sendvičové panely — Strechy Partizánske";"";"1"
"Spojovací materiál";"Skrutky pre sendvičové panely";"Do dreva/betónu";"spojovaci-material/skrutky-pre-sendvicove-panely/do-dreva-do-betonu";"";"Skrutky do dreva a betónu pre sendvičové panely";"";"1"
"Spojovací materiál";"Skrutky pre sendvičové panely";"Do ocele";"spojovaci-material/skrutky-pre-sendvicove-panely/do-ocele";"";"Skrutky do ocele pre sendvičové panely";"";"1"
"Spojovací materiál";"Nity";"";"spojovaci-material/nity";"";"Nity pre klampiarske práce — Strechy Partizánske";"";"1"
"Spojovací materiál";"Príponky";"";"spojovaci-material/priponky";"";"Príponky — Strechy Partizánske";"";"1"
"Spojovací materiál";"Orkán-kalota";"";"spojovaci-material/orkan-kalota";"";"Orkán-kalota — Strechy Partizánske";"";"1"
"Snehové zábrany";"";"";"snehove-zabrany";"Snehové zábrany pre hladké aj profilované krytiny.";"Snehové zábrany — Strechy Partizánske";"Snehové zábrany — drôtové, mrežové, na hladké aj profilované krytiny.";"1"
"Snehové zábrany";"Na hladké krytiny";"";"snehove-zabrany/na-hladke-krytiny";"";"Snehové zábrany na hladké krytiny";"";"1"
"Snehové zábrany";"Na profilované krytiny";"";"snehove-zabrany/na-profilovane-krytiny";"";"Snehové zábrany na profilované krytiny";"";"1"
"Ploché strechy";"";"";"ploche-strechy";"Materiály pre ploché strechy — PVC fólie, poplastované plechy.";"Ploché strechy — Strechy Partizánske";"PVC fólie a poplastované plechy pre ploché strechy.";"1"
"Ploché strechy";"Fólia";"";"ploche-strechy/folia";"";"PVC fólie pre ploché strechy";"";"1"
"Ploché strechy";"Doplnky";"";"ploche-strechy/doplnky";"";"Doplnky pre ploché strechy";"";"1"
"Ploché strechy";"Poplastované plechy";"";"ploche-strechy/poplastovane-plechy";"";"Poplastované plechy";"";"1"
"Ploché strechy";"Poplastované klampiarske produkty";"";"ploche-strechy/poplastovane-klampiarske-produkty";"";"Poplastované klampiarske produkty";"";"1"
"Sendvičové panely";"";"";"sendvicove-panely";"Strešné a stenové sendvičové panely.";"Sendvičové panely — Strechy Partizánske";"Sendvičové panely strešné, stenové a doplnky.";"1"
"Sendvičové panely";"Strešné";"";"sendvicove-panely/stresne";"";"Strešné sendvičové panely";"";"1"
"Sendvičové panely";"Stenové";"";"sendvicove-panely/stenove";"";"Stenové sendvičové panely";"";"1"
"Sendvičové panely";"Doplnky";"";"sendvicove-panely/doplnky";"";"Doplnky pre sendvičové panely";"";"1"
"Okná a výlezy";"";"";"okna-a-vylezy";"Strešné okná, výlezy, svetlovody.";"Strešné okná a výlezy — Strechy Partizánske";"Strešné okná, výlezy a svetlovody.";"1"
"Zvodový systém";"";"";"zvodovy-system";"Žľaby, zvody, kolená — pozink aj farby RAL.";"Zvodový systém — Strechy Partizánske";"Kompletný zvodový systém v rozmeroch 125/87 mm a 150/97 mm.";"1"
"Zvodový systém";"125/87 mm";"";"zvodovy-system/125-87-mm";"";"Zvodový systém 125/87 mm";"";"1"
"Zvodový systém";"150/97 mm";"";"zvodovy-system/150-97-mm";"";"Zvodový systém 150/97 mm";"";"1"
